DeSO.1,Kon,UtlBakgrund,values,Year
0509A0010,Kvinnor,Svensk,531,2019
0509A0010,Kvinnor,Utländsk,55,2019
0509A0010,Män,Svensk,604,2019
0509A0010,Män,Utländsk,46,2019
0509A0010,Totalt,Svensk,1135,2019
0509A0010,Totalt,Utländsk,101,2019
0509A0020,Kvinnor,Svensk,580,2019
0509A0020,Kvinnor,Utländsk,54,2019
0509A0020,Män,Svensk,638,2019
0509A0020,Män,Utländsk,51,2019
0509A0020,Totalt,Svensk,1218,2019
0509A0020,Totalt,Utländsk,105,2019
0509C1010,Kvinnor,Svensk,505,2019
0509C1010,Kvinnor,Utländsk,85,2019
0509C1010,Män,Svensk,491,2019
0509C1010,Män,Utländsk,80,2019
0509C1010,Totalt,Svensk,996,2019
0509C1010,Totalt,Utländsk,165,2019
0509C1020,Kvinnor,Svensk,612,2019
0509C1020,Kvinnor,Utländsk,175,2019
0509C1020,Män,Svensk,620,2019
0509C1020,Män,Utländsk,210,2019
0509C1020,Totalt,Svensk,1232,2019
0509C1020,Totalt,Utländsk,385,2019
0512A0010,Kvinnor,Svensk,525,2019
0512A0010,Kvinnor,Utländsk,73,2019
0512A0010,Män,Svensk,615,2019
0512A0010,Män,Utländsk,64,2019
0512A0010,Totalt,Svensk,1140,2019
0512A0010,Totalt,Utländsk,137,2019
0512A0020,Kvinnor,Svensk,709,2019
0512A0020,Kvinnor,Utländsk,49,2019
0512A0020,Män,Svensk,706,2019
0512A0020,Män,Utländsk,66,2019
0512A0020,Totalt,Svensk,1415,2019
0512A0020,Totalt,Utländsk,115,2019
0512C1010,Kvinnor,Svensk,375,2019
0512C1010,Kvinnor,Utländsk,82,2019
0512C1010,Män,Svensk,382,2019
0512C1010,Män,Utländsk,101,2019
0512C1010,Totalt,Svensk,757,2019
0512C1010,Totalt,Utländsk,183,2019
0513A0010,Kvinnor,Svensk,453,2019
0513A0010,Kvinnor,Utländsk,25,2019
0513A0010,Män,Svensk,543,2019
0513A0010,Män,Utländsk,26,2019
0513A0010,Totalt,Svensk,996,2019
0513A0010,Totalt,Utländsk,51,2019
0513A0020,Kvinnor,Svensk,647,2019
0513A0020,Kvinnor,Utländsk,66,2019
0513A0020,Män,Svensk,685,2019
0513A0020,Män,Utländsk,65,2019
0513A0020,Totalt,Svensk,1332,2019
0513A0020,Totalt,Utländsk,131,2019
0513A0030,Kvinnor,Svensk,530,2019
0513A0030,Kvinnor,Utländsk,31,2019
0513A0030,Män,Svensk,562,2019
0513A0030,Män,Utländsk,30,2019
