DeSO.1,Kon,UtlBakgrund,values,Year
0114A0010,Kvinnor,Svensk,320,2019
0114A0010,Kvinnor,Utländsk,67,2019
0114A0010,Män,Svensk,322,2019
0114A0010,Män,Utländsk,81,2019
0114A0010,Totalt,Svensk,642,2019
0114A0010,Totalt,Utländsk,148,2019
0114C1010,Kvinnor,Svensk,589,2019
0114C1010,Kvinnor,Utländsk,212,2019
0114C1010,Män,Svensk,601,2019
0114C1010,Män,Utländsk,206,2019
0114C1010,Totalt,Svensk,1190,2019
0114C1010,Totalt,Utländsk,418,2019
0114C1020,Kvinnor,Svensk,547,2019
0114C1020,Kvinnor,Utländsk,225,2019
0114C1020,Män,Svensk,610,2019
0114C1020,Män,Utländsk,228,2019
0114C1020,Totalt,Svensk,1157,2019
0114C1020,Totalt,Utländsk,453,2019
0114C1030,Kvinnor,Svensk,905,2019
0114C1030,Kvinnor,Utländsk,273,2019
0114C1030,Män,Svensk,893,2019
0114C1030,Män,Utländsk,294,2019
0114C1030,Totalt,Svensk,1798,2019
0114C1030,Totalt,Utländsk,567,2019
0114C1040,Kvinnor,Svensk,572,2019
0114C1040,Kvinnor,Utländsk,601,2019
0114C1040,Män,Svensk,596,2019
0114C1040,Män,Utländsk,577,2019
0114C1040,Totalt,Svensk,1168,2019
0114C1040,Totalt,Utländsk,1178,2019
0114C1050,Kvinnor,Svensk,827,2019
0114C1050,Kvinnor,Utländsk,236,2019
0114C1050,Män,Svensk,833,2019
0114C1050,Män,Utländsk,240,2019
0114C1050,Totalt,Svensk,1660,2019
0114C1050,Totalt,Utländsk,476,2019
0114C1060,Kvinnor,Svensk,709,2019
0114C1060,Kvinnor,Utländsk,552,2019
0114C1060,Män,Svensk,690,2019
0114C1060,Män,Utländsk,536,2019
0114C1060,Totalt,Svensk,1399,2019
0114C1060,Totalt,Utländsk,1088,2019
0114C1070,Kvinnor,Svensk,544,2019
0114C1070,Kvinnor,Utländsk,239,2019
0114C1070,Män,Svensk,567,2019
0114C1070,Män,Utländsk,244,2019
0114C1070,Totalt,Svensk,1111,2019
0114C1070,Totalt,Utländsk,483,2019
0114C1080,Kvinnor,Svensk,469,2019
0114C1080,Kvinnor,Utländsk,784,2019
0114C1080,Män,Svensk,474,2019
0114C1080,Män,Utländsk,862,2019
0114C1080,Totalt,Svensk,943,2019
0114C1080,Totalt,Utländsk,1646,2019
0114C1090,Kvinnor,Svensk,418,2019
0114C1090,Kvinnor,Utländsk,846,2019
0114C1090,Män,Svensk,360,2019
0114C1090,Män,Utländsk,802,2019
0114C1090,Totalt,Svensk,778,2019
0114C1090,Totalt,Utländsk,1648,2019
0114C1100,Kvinnor,Svensk,555,2019
0114C1100,Kvinnor,Utländsk,366,2019
0114C1100,Män,Svensk,540,2019
0114C1100,Män,Utländsk,355,2019
0114C1100,Totalt,Svensk,1095,2019
0114C1100,Totalt,Utländsk,721,2019
