City,Country,Region,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Shkodra,Albania,Europe,"","","","","","","","","","","",7,4,10,""
Tirana,Albania,Europe,"","",24,19,21,18,25,33,28,29,32,23,16,20,""
Vlora,Albania,Europe,"","","","","","","","","","","",9,7,12,""
Algiers,Algeria,Africa,"","",21,22,38,47,35,31,40,28,56,64,43,"",""
Andorra la Vella and Escaldes-Engordany,Andorra,Europe,"","","","",0,0,"","",1,0,0,0,0,"",""
Buenos Aires,Argentina,Americas,146,133,138,119,122,144,157,168,190,158,176,200,165,146,143
Cordoba,Argentina,Americas,144,121,132,129,127,138,130,92,114,125,136,148,136,126,115
Salta,Argentina,Americas,60,68,63,60,37,49,59,62,59,61,80,65,85,61,96
Gyumri,Armenia,Asia,"","","","","","","",2,2,3,2,5,9,8,4
Vanadzor,Armenia,Asia,"","","","","","","",3,2,1,3,1,1,2,3
Yerevan,Armenia,Asia,"",34,20,28,33,41,37,26,26,25,22,27,29,34,23
Sydney,Australia,Oceania,"","",51,62,49,"","","","","","","","","",""
Graz,Austria,Europe,"","","","","","","",1,2,0,1,3,4,"",""
Linz,Austria,Europe,"","","","","","","",1,1,1,0,1,2,"",""
Vienna,Austria,Europe,"",15,22,18,20,17,20,21,23,19,26,11,9,"",""
Baku,Azerbaijan,Asia,"","",70,70,67,67,"",70,"",69,86,85,82,72,64
Ganja,Azerbaijan,Asia,"","","","","","","","","","","","",10,12,7
Sumqayit,Azerbaijan,Asia,"","","","","","","","","","","","",8,12,8
Nassau,Bahamas,Americas,"","",33,48,60,56,69,78,110,93,"","","","",""
Manama,Bahrain,Asia,"","","","",0,0,"","","","","","","","",""
Dhaka,Bangladesh,Asia,"","",231,344,"","","","","","","","","","",""
Bridgetown Division,Barbados,Americas,"","","","",14,13,11,20,9,9,13,13,17,"",""
Gomel,Belarus,Europe,"","","","","","",25,9,14,18,19,17,"","",""
Minsk,Belarus,Europe,"",73,87,68,62,74,60,65,51,52,58,61,"","",""
Mogilev,Belarus,Europe,"","","","","","",24,17,9,11,11,13,"","",""
Brussels,Belgium,Europe,12,29,32,37,20,44,33,31,27,35,37,37,38,"",""
Belize City,Belize,Americas,"","",44,42,41,47,54,70,74,75,39,59,41,41,""
Belmopan,Belize,Americas,"","","","","","","","","","","",5,3,7,""
Chhukha,Bhutan,Asia,"","","","","","","","","","","","",2,3,""
Samtse,Bhutan,Asia,"","","","","","","","","","","","",0,0,""
Thimphu,Bhutan,Asia,"","","","","",2,0,2,4,8,1,"",3,2,""
La Paz,Bolivia (Plurinational State of),Americas,"","","","","","","",602,550,"","","","","",""
Banja Luka,Bosnia and Herzegovina,Europe,"","","","","","","","","","","","",1,1,""
Sarajevo,Bosnia and Herzegovina,Europe,"","",9,10,10,10,"",6,9,13,8,8,12,4,""
Tuzla,Bosnia and Herzegovina,Europe,"","","","","","","","","","","","",3,2,""
Gaborone,Botswana,Africa,"","","","","","",36,"","","","","","","",""
Rio de Janeiro,Brazil,Americas,"","","","","","","","","","",1389,1305,1255,1030,""
Salvador,Brazil,Americas,"","","","","","","","","","",1485,1419,1436,1405,""
Sao Paulo,Brazil,Americas,"","",2684,1985,1538,1263,1237,1263,1069,1621,1316,1279,1109,893,""
Bandar Seri Begawan,Brunei Darussalam,Asia,"","",0,1,"","","","","","","","","","",""
Plovdiv,Bulgaria,Europe,"","","","","","","","","","","",6,7,5,""
Sofia,Bulgaria,Europe,46,37,38,27,24,27,26,20,20,25,18,25,21,11,""
Varna,Bulgaria,Europe,"","","","","","","","","","","",6,8,1,""
BUJUMBURA,Burundi,Africa,"","","","","",46,34,21,19,33,40,32,"","",""
Assomada (Santa Catarina),Cabo Verde,Africa,"","","","","","","",2,3,5,4,"","","",""
