City,Country,Region,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Shkodra,Albania,Europe,"","","","","","","","","","","","2,3","1,4","3,4",""
Tirana,Albania,Europe,"","","2,9","2,3","2,5","2,2","3,1","4,1","3,5","3,6","4,1","2,9",2,"2,5",""
Vlora,Albania,Europe,"","","","","","","","","","","","2,8","2,2","3,8",""
Algiers,Algeria,Africa,"","","0,6","0,6","1,1","1,3",1,"0,9","1,1","0,7","1,5","1,6","1,1","",""
Andorra la Vella and Escaldes-Engordany,Andorra,Europe,"","","","",0,0,"","","2,6",0,0,0,0,"",""
Buenos Aires,Argentina,Americas,"5,2","4,7","4,8","4,1","4,1","4,8","5,2","5,5","6,3","5,2","5,8","6,6","5,4","4,8","4,7"
Cordoba,Argentina,Americas,"4,6","3,8","4,1",4,"3,9","4,2","3,9","2,7","3,3","3,6","3,9","4,2","3,8","3,5","3,2"
Salta,Argentina,Americas,"5,4",6,"5,5","5,1","3,1","4,1","4,8",5,"4,7","4,8","6,2","4,9","6,4","4,5",7
Gyumri,Armenia,Asia,"","","","","","","","1,6","1,6","2,5","1,6","4,2","7,6","6,8",""
Vanadzor,Armenia,Asia,"","","","","","","","3,3","2,3","1,2","3,5","1,2","1,2","2,4",""
Yerevan,Armenia,Asia,"","3,1","1,8","2,6","3,1","3,8","3,5","2,4","2,4","2,4","2,1","2,5","2,7","3,2",""
Sydney,Australia,Oceania,"","","1,2","1,4","1,1","","","","","","","","","",""
Graz,Austria,Europe,"","","","","","","","0,4","0,8",0,"0,4","1,1","1,5","",""
Linz,Austria,Europe,"","","","","","","","0,5","0,5","0,5",0,"0,5",1,"",""
Vienna,Austria,Europe,"","0,9","1,3","1,1","1,2",1,"1,2","1,2","1,3","1,1","1,5","0,6","0,5","",""
Baku,Azerbaijan,Asia,"","","3,5","3,5","3,3","3,3","","3,3","","3,2","3,9","3,9","","3,2",""
Ganja,Azerbaijan,Asia,"","","","","","","","","","","","","","3,6",""
Sumqayit,Azerbaijan,Asia,"","","","","","","","","","","","","","3,5",""
Nassau,Bahamas,Americas,"","","14,6","20,8","25,4","23,3","28,2","31,4","43,6","36,3","","","","",""
Manama,Bahrain,Asia,"","","","",0,0,"","","","","","","","",""
Dhaka,Bangladesh,Asia,"","","3,6","5,3","","","","","","","","","","",""
Bridgetown Division,Barbados,Americas,"","","","","14,5","13,4","11,3","20,4","9,2","9,1","13,2","13,1","17,1","",""
Gomel,Belarus,Europe,"","","","","","","5,1","1,8","2,8","3,6","3,7","3,3","","",""
Minsk,Belarus,Europe,"","3,8","4,6","3,6","3,3","3,9","3,3","3,5","2,7","2,7",3,"3,2","","",""
Mogilev,Belarus,Europe,"","","","","","","6,8","4,7","2,5",3,3,"3,5","","",""
Brussels,Belgium,Europe,"1,1","2,6","2,9","3,3","1,8","3,9","2,9","2,7","2,3",3,"3,2","3,1","3,2","",""
Belize City,Belize,Americas,"","","91,9","85,5","81,3","90,9","101,8","128,8",133,"131,8","67,1","99,3","67,3","66,4",""
Belmopan,Belize,Americas,"","","","","","","","","","","","25,8","15,4","33,9",""
Chhukha,Bhutan,Asia,"","","","","","","","","","","","","2,3","3,4",""
Samtse,Bhutan,Asia,"","","","","","","","","","","","",0,0,""
Thimphu,Bhutan,Asia,"","","","","","1,9",0,"1,8","3,6","7,2","0,9","","2,6","1,7",""
La Paz,Bolivia (Plurinational State of),Americas,"","","","","","","","21,2","19,1","","","","","",""
Banja Luka,Bosnia and Herzegovina,Europe,"","","","","","","","","","","","","0,7","0,7",""
Sarajevo,Bosnia and Herzegovina,Europe,"","","1,7","1,9","1,9","1,9","","1,2","1,7","2,5","1,6","1,6","2,4","0,8",""
Tuzla,Bosnia and Herzegovina,Europe,"","","","","","","","","","","","",4,"2,7",""
Gaborone,Botswana,Africa,"","","","","","","16,1","","","","","","","",""
Rio de Janeiro,Brazil,Americas,"","","","","","","","","","","21,6","20,2","19,4","15,8",""
Salvador,Brazil,Americas,"","","","","","","","","","","51,5","48,9","49,2","47,8",""
Sao Paulo,Brazil,Americas,"","","24,6",18,"13,8","11,2","10,9",11,"9,2","13,8","11,1","10,8","9,3","7,4",""
Bandar Seri Begawan,Brunei Darussalam,Asia,"","",0,"0,7","","","","","","","","","","",""
Plovdiv,Bulgaria,Europe,"","","","","","","","","","","","0,9",1,"0,7",""
Sofia,Bulgaria,Europe,"3,2","2,6","2,7","1,9","1,7",2,"1,9","1,5","1,5","1,9","1,4","1,9","1,6","0,8",""
Varna,Bulgaria,Europe,"","","","","","","","","","","","1,3","1,7","0,2",""
BUJUMBURA,Burundi,Africa,"","","","","","9,3","6,6",4,"3,5","5,8","6,9","5,3","","",""
Assomada (Santa Catarina),Cabo Verde,Africa,"","","","","","","","4,5","6,8","11,2","8,9","","","",""
Praia,Cabo Verde,Africa,"","","","","","","","12,1","24,2","20,7","18,1",23,"16,5","",""
Sao Vicente,Cabo Verde,Africa,"","","","","","","","8,9",5,"11,2","7,4","","","",""
Montreal,Canada,Americas,"","","","","","","1,2","1,3","1,4","1,2","1,1","0,9","1,2","",""
Toronto,Canada,Americas,"1,6","1,6","1,8","1,7","1,9","1,8","1,6","1,4","1,5","1,4","1,4","1,4","1,4","",""
Vancouver,Canada,Americas,"","","","","","","2,6","1,5","1,8","1,5","1,7","1,9","1,9","",""
Bambari,Central African Republic,Africa,"","","","","","","","","","","","","","45,7",""
Bangui,Central African Republic,Africa,"","","","","","","","","","","","","","10,9",""
Bio Bio Region,Chile,Americas,"","","","","","","","","","","","3,2","1,5","3,5",""
Santiago,Chile,Americas,"","","3,8","3,3","4,1","3,3","3,6","2,9","3,4","3,1","3,9","4,5","3,4","3,7",""
Valparaiso,Chile,Americas,"","","","","","","","","","","","3,4","1,2","3,4",""
Bogota,Colombia,Americas,"","","23,8","19,3","18,8","18,4",18,"17,8",22,"16,9","16,7","17,4","17,2","",""
Cali,Colombia,Americas,"","","","","","","72,4","71,3","80,4","80,4","84,8","66,3","64,8","",""
Medellin,Colombia,Americas,"","","","","","","38,9","37,8","41,5","32,9","24,1",17,"19,3","",""
Kinshasa,Congo,Africa,"","","","","","","","1,6","","","","","","",""
Alajuela,Costa Rica,Americas,"","","","","","","","","","8,4","9,2","19,9","","",""
Limon,Costa Rica,Americas,"","","","","","","","","","11,3","5,4","10,7","","",""
San Jose,Costa Rica,Americas,"","","","13,6","19,4","28,3","24,3","20,3","17,4","15,8","11,8","20,1","","",""
Rijeka,Croatia,Europe,"","","","","","","","","","","","0,8",0,"0,8",""
Split,Croatia,Europe,"","","","","","","","","","","",0,"1,2","1,7",""
Zagreb,Croatia,Europe,"1,9","0,9",2,"1,4","0,7","1,9","0,6","1,3","1,4","1,3","0,8","0,6","0,4","1,2",""
Nicosia,Cyprus,Asia,"","1,4",1,"2,6",1,1,"0,9","1,2","0,6","1,5","1,2","0,9","1,2","0,6",""
Brno,Czechia,Europe,"","","","","","","","","","","1,8","1,3","1,6","1,3",""
Ostrava,Czechia,Europe,"","","","","","","","","","","0,3",1,"0,7","0,3",""
Prague,Czechia,Europe,"","","1,2","1,7","2,4","1,5","1,9","1,3","0,8","1,3","1,2",2,"1,7","0,7",""
Aalborg,Denmark,Europe,"","","","","","","",1,0,"0,5","0,5",1,"3,4","1,4",""
Aarhus,Denmark,Europe,"","","","","","","",0,"0,3",0,"2,2","1,9","1,8","0,9",""
Copenhagen,Denmark,Europe,"","","2,6","1,8","1,4","1,6","2,6","0,8",3,"2,5","0,2",1,"1,7","0,8",""
Distrito Nacional,Dominican Republic,Americas,"","","","","","","","","","","","18,1","","",""
Santiago,Dominican Republic,Americas,"","","","","","","","","","","","20,4","","",""
Santo Domingo,Dominican Republic,Americas,"","","15,9","12,5","","","","26,3","31,3","26,1","","16,7","","",""
Cuenca,Ecuador,Americas,"","","","","","","","","","","","10,5","","",""
Guayaquil,Ecuador,Americas,"","","","","","","28,5","24,5","20,4","13,8","13,9","10,4","","",""
Quito,Ecuador,Americas,"","","11,4","13,8","","11,9","11,1","14,4","11,4","","","6,8","","",""
Cairo,Egypt,Africa,"","","","0,7","0,9","1,3","1,3","0,8","2,4","3,2","","","","",""
San Salvador,El Salvador,Americas,"","","88,2","89,4","101,2","133,7","96,4",79,"89,9","52,5","74,4","119,9",193,"",""
Santa Ana,El Salvador,Americas,"","","","","","","","","","","31,6","36,1","64,4","",""
Soyapango,El Salvador,Americas,"","","","","","","","","","","27,5","40,3","81,6","",""
Tallinn,Estonia,Europe,"","","10,1","5,3","8,8","","7,3","5,5","","4,9","4,8","3,7","2,6","",""
Espoo,Finland,Europe,"","","","","","","3,3","0,8","0,8","0,8","1,9","0,4","0,7",0,""
